Country,Year,Variable of Greenhouse gas,PowerCode,Carbon dioxide_value,Methane_Value,Nitrous oxide_Value,Variable of Ambient Particulate Matter,Particulates (PM2.5) _Value,Environmental_Policy_Stringency_Value
Australia,1990,Total  emissions excluding LULUCF,Thousands,278154.156,125133.249,16084.645,NA,NA,0.16666667
Australia,1991,Total  emissions excluding LULUCF,Thousands,279528.51,124199.252,15683.914,NA,NA,0.16666667
Australia,1992,Total  emissions excluding LULUCF,Thousands,284525.345,123239.844,15513.318,NA,NA,0.16666667
Australia,1993,Total  emissions excluding LULUCF,Thousands,288870.537,120116.183,15972.742,NA,NA,0.16666667
Australia,1994,Total  emissions excluding LULUCF,Thousands,293696.553,117269.417,16394.37,NA,NA,0.16666667
Australia,1995,Total  emissions excluding LULUCF,Thousands,305002.996,115838.534,15562.643,NA,NA,0.16666667
Australia,1996,Total  emissions excluding LULUCF,Thousands,311886.129,115157.293,16826.27,NA,NA,0.16666667
Australia,1997,Total  emissions excluding LULUCF,Thousands,320282.63,118004.542,17617.69,NA,NA,0.16666667
Australia,1998,Total  emissions excluding LULUCF,Thousands,334075.978,117834.999,17673.208,NA,NA,0.5
Australia,1999,Total  emissions excluding LULUCF,Thousands,343488.633,114164.528,18148.092,NA,NA,0.5
Australia,2000,Total  emissions excluding LULUCF,Thousands,349635.487,118052.176,19088.84,NA,NA,0.83333331
Australia,2001,Total  emissions excluding LULUCF,Thousands,357132.367,117110.619,19403.205,NA,NA,0.8888889
Australia,2002,Total  emissions excluding LULUCF,Thousands,361540.81,115485.969,19909.199,NA,NA,1.1388888
Australia,2003,Total  emissions excluding LULUCF,Thousands,369279.512,108530.051,18758.96,NA,NA,1.1388888
Australia,2004,Total  emissions excluding LULUCF,Thousands,382820.89,110016.933,20441.003,NA,NA,1.4722222
Australia,2005,Total  emissions excluding LULUCF,Thousands,386153.533,112300.306,20511.081,NA,NA,1.8055556
Australia,2006,Total  emissions excluding LULUCF,Thousands,392384.302,111294.128,20417.383,NA,NA,2.2222223
Australia,2007,Total  emissions excluding LULUCF,Thousands,399624.803,111645.922,18821.081,NA,NA,2.2222223
Australia,2008,Total  emissions excluding LULUCF,Thousands,404233.067,109033.21,19147.733,NA,NA,2.3611112
Australia,2009,Total  emissions excluding LULUCF,Thousands,407065.015,107797.783,19661.263,NA,NA,2.5277777
Australia,2010,Total  emissions excluding LULUCF,Thousands,405103.32,104768.449,19537.872,NA,NA,2.8333333
Australia,2011,Total  emissions excluding LULUCF,Thousands,403828.773,106310.044,20287.683,NA,NA,3
Australia,2012,Total  emissions excluding LULUCF,Thousands,406150.91,106641.053,20490.296,NA,NA,3.4166667
Australia,2013,Total  emissions excluding LULUCF,Thousands,397887.458,106249.156,19263.636,NA,NA,3.5277777
Australia,2014,Total  emissions excluding LULUCF,Thousands,393952.876,103494.595,19673.139,NA,NA,2.6944444
Australia,2015,Total  emissions excluding LULUCF,Thousands,401793.062,103955.984,19054.832,NA,NA,2.6944444
Australia,2016,Total  emissions excluding LULUCF,Thousands,411264.288,103078.58,19042.913,NA,NA,2.6944444
Australia,2017,Total  emissions excluding LULUCF,Thousands,414358.312,105002.792,20719.44,NA,NA,2.75
Australia,2018,Total  emissions excluding LULUCF,Thousands,416283.827,105796.248,19578.735,NA,NA,2.8611112
Australia,2019,Total  emissions excluding LULUCF,Thousands,416356.588,99367.624,18750.698,NA,NA,2.8611112
Australia,2020,Total  emissions excluding LULUCF,Thousands,399922.128,97303.626,18585.689,NA,NA,2.9166667
Austria,1990,Total  emissions excluding LULUCF,Thousands,62145.248,10110.683,4511.457,Total man-made emissions,27.034,1.3888888
Austria,1991,Total  emissions excluding LULUCF,Thousands,65743.938,9999.218,4541.583,NA,NA,1.3888888
Austria,1992,Total  emissions excluding LULUCF,Thousands,60243.908,9724.879,4322.959,NA,NA,1.3888888
Austria,1993,Total  emissions excluding LULUCF,Thousands,60670.57,9763.059,4330.323,NA,NA,1.3888888
Austria,1994,Total  emissions excluding LULUCF,Thousands,61045.756,9466.263,4271.79,NA,NA,1.3888888
Austria,1995,Total  emissions excluding LULUCF,Thousands,64023.072,9382.092,4337.622,Total man-made emissions,25.489,1.611111
Austria,1996,Total  emissions excluding LULUCF,Thousands,67367.013,9075.427,4355.73,NA,NA,1.611111
Austria,1997,Total  emissions excluding LULUCF,Thousands,67263.597,8780.316,4368.006,NA,NA,1.611111
Austria,1998,Total  emissions excluding LULUCF,Thousands,66898.315,8612.597,4412.496,NA,NA,1.611111
Austria,1999,Total  emissions excluding LULUCF,Thousands,65651.039,8436.131,4386.458,NA,NA,1.611111
Austria,2000,Total  emissions excluding LULUCF,Thousands,66149.78,8224.685,4355.293,Total man-made emissions,23.899,1.8888888
Austria,2001,Total  emissions excluding LULUCF,Thousands,70149.508,8055.083,4221.83,Total man-made emissions,24.174,1.8888888
Austria,2002,Total  emissions excluding LULUCF,Thousands,71953.612,7919.361,4213.52,Total man-made emissions,23.299,1.8888888
Austria,2003,Total  emissions excluding LULUCF,Thousands,77460.983,7852.315,4203.137,Total man-made emissions,23.168,2.1944444
Austria,2004,Total  emissions excluding LULUCF,Thousands,77678.295,7847.126,3609.047,Total man-made emissions,22.56,2.1944444
Austria,2005,Total  emissions excluding LULUCF,Thousands,79078.106,7612.585,3606.68,Total man-made emissions,22.41,2.3055556
Austria,2006,Total  emissions excluding LULUCF,Thousands,76806.465,7492.245,3613.829,Total man-made emissions,21.918,2.5277777
Austria,2007,Total  emissions excluding LULUCF,Thousands,74106.78,7372.406,3631.873,Total man-made emissions,21.069,2.25
Austria,2008,Total  emissions excluding LULUCF,Thousands,73481.909,7228.032,3802.605,Total man-made emissions,20.22,2.6666667
Austria,2009,Total  emissions excluding LULUCF,Thousands,67298.655,7116.448,3579.907,Total man-made emissions,19.103,2.9444444
Austria,2010,Total  emissions excluding LULUCF,Thousands,72006.411,7007.823,3388.73,Total man-made emissions,19.68,3.0833333
Austria,2011,Total  emissions excluding LULUCF,Thousands,69893.113,6800.731,3493.375,Total man-made emissions,18.518,3.0555556
Austria,2012,Total  emissions excluding LULUCF,Thousands,67265.91,6680.692,3464.005,Total man-made emissions,18.075,2.9444444
Austria,2013,Total  emissions excluding LULUCF,Thousands,67759.445,6572.801,3446.724,Total man-made emissions,17.477,3.2777777
Austria,2014,Total  emissions excluding LULUCF,Thousands,64160,6431.701,3538.432,Total man-made emissions,15.936,3.1111112
Austria,2015,Total  emissions excluding LULUCF,Thousands,66348.823,6353.775,3555.141,Total man-made emissions,15.696,2.9444444
Austria,2016,Total  emissions excluding LULUCF,Thousands,67210.743,6282.521,3655.098,Total man-made emissions,15.293,2.9444444
Austria,2017,Total  emissions excluding LULUCF,Thousands,69592.825,6256.427,3593.011,Total man-made emissions,15.079,2.9444444
Austria,2018,Total  emissions excluding LULUCF,Thousands,66557.18,6047.181,3552.569,Total man-made emissions,14.052,3.0833333
Austria,2019,Total  emissions excluding LULUCF,Thousands,67936.185,5914.329,3550.726,Total man-made emissions,13.863,3.1388888
Austria,2020,Total  emissions excluding LULUCF,Thousands,62037.447,5819.441,3497.987,Total man-made emissions,13.182,3.3055556
Belgium,1990,Total  emissions excluding LULUCF,Thousands,120292.644,11517.597,10063.168,NA,NA,0.8888889
Belgium,1991,Total  emissions excluding LULUCF,Thousands,123362.363,11477.593,9930.207,NA,NA,0.8888889
Belgium,1992,Total  emissions excluding LULUCF,Thousands,122488.07,11400.281,9654.74,NA,NA,0.94444442
Belgium,1993,Total  emissions excluding LULUCF,Thousands,121422.702,11203.101,9928.957,NA,NA,0.94444442
Belgium,1994,Total  emissions excluding LULUCF,Thousands,124795.264,11233.978,10332.696,NA,NA,1.1111112
Belgium,1995,Total  emissions excluding LULUCF,Thousands,125933.051,11297.765,10815.427,NA,NA,1.1111112
Belgium,1996,Total  emissions excluding LULUCF,Thousands,129474.969,11160.709,11253.982,NA,NA,1.1111112
Belgium,1997,Total  emissions excluding LULUCF,Thousands,123983.505,11043.319,11031.311,NA,NA,1.1111112
Belgium,1998,Total  emissions excluding LULUCF,Thousands,130212.392,10869.661,10915.629,NA,NA,1.2777778
Belgium,1999,Total  emissions excluding LULUCF,Thousands,124704.147,10629.556,10921.397,NA,NA,1.1111112
Belgium,2000,Total  emissions excluding LULUCF,Thousands,126719.535,10217.41,10200.278,Total man-made emissions,39.869,1.5555556
Belgium,2001,Total  emissions excluding LULUCF,Thousands,126063.796,9796.527,9810.078,Total man-made emissions,38.994,1.5555556
Belgium,2002,Total  emissions excluding LULUCF,Thousands,126860.502,9395.488,9463.721,Total man-made emissions,36.461,1.6111112
Belgium,2003,Total  emissions excluding LULUCF,Thousands,128245.64,8876.168,8563.487,Total man-made emissions,36.805,1.5555556
Belgium,2004,Total  emissions excluding LULUCF,Thousands,128778.889,8818.274,8729.504,Total man-made emissions,36.624,2.4722223
Belgium,2005,Total  emissions excluding LULUCF,Thousands,125636.389,8597.871,8485.057,Total man-made emissions,34.134,2.5833333
Belgium,2006,Total  emissions excluding LULUCF,Thousands,123880.438,8510.995,7485.957,Total man-made emissions,34.617,2.6388888
Belgium,2007,Total  emissions excluding LULUCF,Thousands,120477.002,8406.884,6950.431,Total man-made emissions,32.485,2.3055556
Belgium,2008,Total  emissions excluding LULUCF,Thousands,120175.599,8239.603,6919.184,Total man-made emissions,32.209,2.6388888
Belgium,2009,Total  emissions excluding LULUCF,Thousands,107732.357,8175.369,7016.77,Total man-made emissions,28.771,2.6666667
Belgium,2010,Total  emissions excluding LULUCF,Thousands,114557.864,8151.525,7529.159,Total man-made emissions,30.254,2.5555556
Belgium,2011,Total  emissions excluding LULUCF,Thousands,105020.115,7916.441,6326.111,Total man-made emissions,24.498,2.9444444
Belgium,2012,Total  emissions excluding LULUCF,Thousands,102355.635,7874.137,6296.092,Total man-made emissions,24.778,3.0555556
Belgium,2013,Total  emissions excluding LULUCF,Thousands,102666.433,7723.211,6135.233,Total man-made emissions,25.242,2.9444444
Belgium,2014,Total  emissions excluding LULUCF,Thousands,96887.002,7577.638,6139.454,Total man-made emissions,20.57,2.9444444
Belgium,2015,Total  emissions excluding LULUCF,Thousands,101061.722,7589.981,5991.067,Total man-made emissions,21.787,2.8333333
Belgium,2016,Total  emissions excluding LULUCF,Thousands,99601.625,7544.44,5718.442,Total man-made emissions,21.56,2.8888888
Belgium,2017,Total  emissions excluding LULUCF,Thousands,99126.283,7386.823,5895.378,Total man-made emissions,19.814,2.9444444
Belgium,2018,Total  emissions excluding LULUCF,Thousands,99873.631,7313.037,5632.545,Total man-made emissions,18.743,3
Belgium,2019,Total  emissions excluding LULUCF,Thousands,99432.619,7241.601,5556.231,Total man-made emissions,18.072,3.2222223
Belgium,2020,Total  emissions excluding LULUCF,Thousands,90368.008,7098.807,5380.959,Total man-made emissions,16.686,3.4444444
Brazil,1990,Total  emissions excluding LULUCF,Thousands,213555,231672,103561.7,NA,NA,0.16666667
Brazil,1991,Total  emissions excluding LULUCF,Thousands,224675,238786.8,106841.5,NA,NA,0.16666667
Brazil,1992,Total  emissions excluding LULUCF,Thousands,226821,243009.9,109231.6,NA,NA,0.16666667
Brazil,1993,Total  emissions excluding LULUCF,Thousands,235656,244185.9,111451.2,NA,NA,0.16666667
Brazil,1994,Total  emissions excluding LULUCF,Thousands,245011,249057.9,115223.9,NA,NA,0.16666667
Brazil,1995,Total  emissions excluding LULUCF,Thousands,263283,253709.4,117412.5,NA,NA,0.22222222
Brazil,1996,Total  emissions excluding LULUCF,Thousands,282440,247760.1,109901.2,NA,NA,0.22222222
Brazil,1997,Total  emissions excluding LULUCF,Thousands,299443,252327.6,113063.2,NA,NA,0.22222222
Brazil,1998,Total  emissions excluding LULUCF,Thousands,310259,255213,117889.9,NA,NA,0.22222222
Brazil,1999,Total  emissions excluding LULUCF,Thousands,320522,260093.4,118875.7,NA,NA,0.22222222
Brazil,2000,Total  emissions excluding LULUCF,Thousands,331466,267296.4,124272.8,NA,NA,0.22222222
Brazil,2001,Total  emissions excluding LULUCF,Thousands,338212,276872.4,126777.6,NA,NA,0.27777779
Brazil,2002,Total  emissions excluding LULUCF,Thousands,337959,286868.4,133430.2,NA,NA,0.83333331
Brazil,2003,Total  emissions excluding LULUCF,Thousands,333001,300052.2,142724,NA,NA,0.75
Brazil,2004,Total  emissions excluding LULUCF,Thousands,349853,312994.5,149472.7,NA,NA,0.55555558
Brazil,2005,Total  emissions excluding LULUCF,Thousands,356897,319485.6,149956.3,NA,NA,0.55555558
Brazil,2006,Total  emissions excluding LULUCF,Thousands,361457,318807.3,152076.7,NA,NA,0.55555558
Brazil,2007,Total  emissions excluding LULUCF,Thousands,380822,307488.3,149624.6,NA,NA,0.22222222
Brazil,2008,Total  emissions excluding LULUCF,Thousands,402090,313441.8,150731.3,NA,NA,0.22222222
Brazil,2009,Total  emissions excluding LULUCF,Thousands,381380,319019.4,151766.7,NA,NA,0.22222222
Brazil,2010,Total  emissions excluding LULUCF,Thousands,429845,325355.1,158313.9,NA,NA,0.22222222
Brazil,2011,Total  emissions excluding LULUCF,Thousands,449665,332031,165378.8,NA,NA,0.16666667
Brazil,2012,Total  emissions excluding LULUCF,Thousands,483346,330040.2,164734,NA,NA,0.25
Brazil,2013,Total  emissions excluding LULUCF,Thousands,516845,336669.9,168965.5,NA,NA,0.58333331
Brazil,2014,Total  emissions excluding LULUCF,Thousands,541676,339561.6,172499.5,NA,NA,0.58333331
Brazil,2015,Total  emissions excluding LULUCF,Thousands,515871,344500.8,171417.6,NA,NA,0.6388889
