,Country,Variable of Greenhouse gas,Year,PowerCode,Carbon dioxide_value,Methane_Value,Nitrous oxide_Value,Variable of Ambient Particulate Matter,Particulates (PM2.5) _Value
1,Australia,Total  emissions excluding LULUCF,1990,Thousands,278154.156,125133.249,16084.645,NA,NA
2,Australia,Total  emissions excluding LULUCF,1991,Thousands,279528.51,124199.252,15683.914,NA,NA
3,Australia,Total  emissions excluding LULUCF,1992,Thousands,284525.345,123239.844,15513.318,NA,NA
4,Australia,Total  emissions excluding LULUCF,1993,Thousands,288870.537,120116.183,15972.742,NA,NA
5,Australia,Total  emissions excluding LULUCF,1994,Thousands,293696.553,117269.417,16394.37,NA,NA
6,Australia,Total  emissions excluding LULUCF,1995,Thousands,305002.996,115838.534,15562.643,NA,NA
7,Australia,Total  emissions excluding LULUCF,1996,Thousands,311886.129,115157.293,16826.27,NA,NA
8,Australia,Total  emissions excluding LULUCF,1997,Thousands,320282.63,118004.542,17617.69,NA,NA
9,Australia,Total  emissions excluding LULUCF,1998,Thousands,334075.978,117834.999,17673.208,NA,NA
10,Australia,Total  emissions excluding LULUCF,1999,Thousands,343488.633,114164.528,18148.092,NA,NA
11,Australia,Total  emissions excluding LULUCF,2000,Thousands,349635.487,118052.176,19088.84,NA,NA
12,Australia,Total  emissions excluding LULUCF,2001,Thousands,357132.367,117110.619,19403.205,NA,NA
13,Australia,Total  emissions excluding LULUCF,2002,Thousands,361540.81,115485.969,19909.199,NA,NA
14,Australia,Total  emissions excluding LULUCF,2003,Thousands,369279.512,108530.051,18758.96,NA,NA
15,Australia,Total  emissions excluding LULUCF,2004,Thousands,382820.89,110016.933,20441.003,NA,NA
16,Australia,Total  emissions excluding LULUCF,2005,Thousands,386153.533,112300.306,20511.081,NA,NA
17,Australia,Total  emissions excluding LULUCF,2006,Thousands,392384.302,111294.128,20417.383,NA,NA
18,Australia,Total  emissions excluding LULUCF,2007,Thousands,399624.803,111645.922,18821.081,NA,NA
19,Australia,Total  emissions excluding LULUCF,2008,Thousands,404233.067,109033.21,19147.733,NA,NA
20,Australia,Total  emissions excluding LULUCF,2009,Thousands,407065.015,107797.783,19661.263,NA,NA
21,Australia,Total  emissions excluding LULUCF,2010,Thousands,405103.32,104768.449,19537.872,NA,NA
22,Australia,Total  emissions excluding LULUCF,2011,Thousands,403828.773,106310.044,20287.683,NA,NA
23,Australia,Total  emissions excluding LULUCF,2012,Thousands,406150.91,106641.053,20490.296,NA,NA
24,Australia,Total  emissions excluding LULUCF,2013,Thousands,397887.458,106249.156,19263.636,NA,NA
25,Australia,Total  emissions excluding LULUCF,2014,Thousands,393952.876,103494.595,19673.139,NA,NA
26,Australia,Total  emissions excluding LULUCF,2015,Thousands,401793.062,103955.984,19054.832,NA,NA
27,Australia,Total  emissions excluding LULUCF,2016,Thousands,411264.288,103078.58,19042.913,NA,NA
28,Australia,Total  emissions excluding LULUCF,2017,Thousands,414358.312,105002.792,20719.44,NA,NA
29,Australia,Total  emissions excluding LULUCF,2018,Thousands,416283.827,105796.248,19578.735,NA,NA
30,Australia,Total  emissions excluding LULUCF,2019,Thousands,416356.588,99367.624,18750.698,NA,NA
31,Australia,Total  emissions excluding LULUCF,2020,Thousands,399922.128,97303.626,18585.689,NA,NA
32,Austria,Total  emissions excluding LULUCF,1990,Thousands,62145.248,10110.683,4511.457,Total man-made emissions,27.034
33,Austria,Total  emissions excluding LULUCF,1991,Thousands,65743.938,9999.218,4541.583,NA,NA
34,Austria,Total  emissions excluding LULUCF,1992,Thousands,60243.908,9724.879,4322.959,NA,NA
35,Austria,Total  emissions excluding LULUCF,1993,Thousands,60670.57,9763.059,4330.323,NA,NA
36,Austria,Total  emissions excluding LULUCF,1994,Thousands,61045.756,9466.263,4271.79,NA,NA
37,Austria,Total  emissions excluding LULUCF,1995,Thousands,64023.072,9382.092,4337.622,Total man-made emissions,25.489
38,Austria,Total  emissions excluding LULUCF,1996,Thousands,67367.013,9075.427,4355.73,NA,NA
39,Austria,Total  emissions excluding LULUCF,1997,Thousands,67263.597,8780.316,4368.006,NA,NA
40,Austria,Total  emissions excluding LULUCF,1998,Thousands,66898.315,8612.597,4412.496,NA,NA
41,Austria,Total  emissions excluding LULUCF,1999,Thousands,65651.039,8436.131,4386.458,NA,NA
42,Austria,Total  emissions excluding LULUCF,2000,Thousands,66149.78,8224.685,4355.293,Total man-made emissions,23.899
43,Austria,Total  emissions excluding LULUCF,2001,Thousands,70149.508,8055.083,4221.83,Total man-made emissions,24.174
44,Austria,Total  emissions excluding LULUCF,2002,Thousands,71953.612,7919.361,4213.52,Total man-made emissions,23.299
45,Austria,Total  emissions excluding LULUCF,2003,Thousands,77460.983,7852.315,4203.137,Total man-made emissions,23.168
46,Austria,Total  emissions excluding LULUCF,2004,Thousands,77678.295,7847.126,3609.047,Total man-made emissions,22.56
47,Austria,Total  emissions excluding LULUCF,2005,Thousands,79078.106,7612.585,3606.68,Total man-made emissions,22.41
48,Austria,Total  emissions excluding LULUCF,2006,Thousands,76806.465,7492.245,3613.829,Total man-made emissions,21.918
49,Austria,Total  emissions excluding LULUCF,2007,Thousands,74106.78,7372.406,3631.873,Total man-made emissions,21.069
50,Austria,Total  emissions excluding LULUCF,2008,Thousands,73481.909,7228.032,3802.605,Total man-made emissions,20.22
51,Austria,Total  emissions excluding LULUCF,2009,Thousands,67298.655,7116.448,3579.907,Total man-made emissions,19.103
52,Austria,Total  emissions excluding LULUCF,2010,Thousands,72006.411,7007.823,3388.73,Total man-made emissions,19.68
53,Austria,Total  emissions excluding LULUCF,2011,Thousands,69893.113,6800.731,3493.375,Total man-made emissions,18.518
54,Austria,Total  emissions excluding LULUCF,2012,Thousands,67265.91,6680.692,3464.005,Total man-made emissions,18.075
55,Austria,Total  emissions excluding LULUCF,2013,Thousands,67759.445,6572.801,3446.724,Total man-made emissions,17.477
56,Austria,Total  emissions excluding LULUCF,2014,Thousands,64160,6431.701,3538.432,Total man-made emissions,15.936
57,Austria,Total  emissions excluding LULUCF,2015,Thousands,66348.823,6353.775,3555.141,Total man-made emissions,15.696
58,Austria,Total  emissions excluding LULUCF,2016,Thousands,67210.743,6282.521,3655.098,Total man-made emissions,15.293
59,Austria,Total  emissions excluding LULUCF,2017,Thousands,69592.825,6256.427,3593.011,Total man-made emissions,15.079
60,Austria,Total  emissions excluding LULUCF,2018,Thousands,66557.18,6047.181,3552.569,Total man-made emissions,14.052
61,Austria,Total  emissions excluding LULUCF,2019,Thousands,67936.185,5914.329,3550.726,Total man-made emissions,13.863
62,Austria,Total  emissions excluding LULUCF,2020,Thousands,62037.447,5819.441,3497.987,Total man-made emissions,13.182
63,Belgium,Total  emissions excluding LULUCF,1990,Thousands,120292.644,11517.597,10063.168,NA,NA
64,Belgium,Total  emissions excluding LULUCF,1991,Thousands,123362.363,11477.593,9930.207,NA,NA
65,Belgium,Total  emissions excluding LULUCF,1992,Thousands,122488.07,11400.281,9654.74,NA,NA
66,Belgium,Total  emissions excluding LULUCF,1993,Thousands,121422.702,11203.101,9928.957,NA,NA
67,Belgium,Total  emissions excluding LULUCF,1994,Thousands,124795.264,11233.978,10332.696,NA,NA
68,Belgium,Total  emissions excluding LULUCF,1995,Thousands,125933.051,11297.765,10815.427,NA,NA
69,Belgium,Total  emissions excluding LULUCF,1996,Thousands,129474.969,11160.709,11253.982,NA,NA
70,Belgium,Total  emissions excluding LULUCF,1997,Thousands,123983.505,11043.319,11031.311,NA,NA
71,Belgium,Total  emissions excluding LULUCF,1998,Thousands,130212.392,10869.661,10915.629,NA,NA
72,Belgium,Total  emissions excluding LULUCF,1999,Thousands,124704.147,10629.556,10921.397,NA,NA
73,Belgium,Total  emissions excluding LULUCF,2000,Thousands,126719.535,10217.41,10200.278,Total man-made emissions,39.869
74,Belgium,Total  emissions excluding LULUCF,2001,Thousands,126063.796,9796.527,9810.078,Total man-made emissions,38.994
75,Belgium,Total  emissions excluding LULUCF,2002,Thousands,126860.502,9395.488,9463.721,Total man-made emissions,36.461
76,Belgium,Total  emissions excluding LULUCF,2003,Thousands,128245.64,8876.168,8563.487,Total man-made emissions,36.805
77,Belgium,Total  emissions excluding LULUCF,2004,Thousands,128778.889,8818.274,8729.504,Total man-made emissions,36.624
78,Belgium,Total  emissions excluding LULUCF,2005,Thousands,125636.389,8597.871,8485.057,Total man-made emissions,34.134
79,Belgium,Total  emissions excluding LULUCF,2006,Thousands,123880.438,8510.995,7485.957,Total man-made emissions,34.617
80,Belgium,Total  emissions excluding LULUCF,2007,Thousands,120477.002,8406.884,6950.431,Total man-made emissions,32.485
