"Country","year","prematured_death"
"Australia"," 1990",2361
"Australia"," 1995",2234
"Australia"," 2000",2044
"Australia"," 2005",1688
"Australia"," 2006",1656
"Australia"," 2007",1658
"Australia"," 2008",1652
"Australia"," 2009",1618
"Australia"," 2010",1601
"Australia"," 2011",1612
"Australia"," 2012",1600
"Australia"," 2013",1601
"Australia"," 2014",1637
"Australia"," 2015",1670
"Australia"," 2016",1625
"Australia"," 2017",1622
"Australia"," 2018",1697
"Australia"," 2019",1781
"Austria"," 1990",5217
"Austria"," 1995",4829
"Austria"," 2000",3955
"Austria"," 2005",3470
"Austria"," 2006",3359
"Austria"," 2007",3310
"Austria"," 2008",3241
"Austria"," 2009",3236
"Austria"," 2010",3166
"Austria"," 2011",3088
"Austria"," 2012",3008
"Austria"," 2013",2890
"Austria"," 2014",2759
"Austria"," 2015",2670
"Austria"," 2016",2442
"Austria"," 2017",2287
"Austria"," 2018",2307
"Austria"," 2019",2389
"Belgium"," 1990",6999
"Belgium"," 1995",6292
"Belgium"," 2000",5496
"Belgium"," 2005",4625
"Belgium"," 2006",4532
"Belgium"," 2007",4596
"Belgium"," 2008",4698
"Belgium"," 2009",4755
"Belgium"," 2010",4730
"Belgium"," 2011",4599
"Belgium"," 2012",4385
"Belgium"," 2013",4041
"Belgium"," 2014",3658
"Belgium"," 2015",3532
"Belgium"," 2016",3418
"Belgium"," 2017",3425
"Belgium"," 2018",3447
"Belgium"," 2019",3491
"Canada"," 1990",5890
"Canada"," 1995",5994
"Canada"," 2000",5454
"Canada"," 2005",5172
"Canada"," 2006",4972
"Canada"," 2007",4762
"Canada"," 2008",4488
"Canada"," 2009",4192
"Canada"," 2010",3954
"Canada"," 2011",3772
"Canada"," 2012",3647
"Canada"," 2013",3537
"Canada"," 2014",3500
"Canada"," 2015",3493
"Canada"," 2016",3574
"Canada"," 2017",3655
"Canada"," 2018",3790
"Canada"," 2019",3765
"Chile"," 1990",3698
"Chile"," 1995",3793
"Chile"," 2000",4033
"Chile"," 2005",4165
"Chile"," 2006",4170
"Chile"," 2007",4255
"Chile"," 2008",4240
"Chile"," 2009",4450
"Chile"," 2010",4641
"Chile"," 2011",4738
"Chile"," 2012",4926
"Chile"," 2013",5157
"Chile"," 2014",5304
"Chile"," 2015",5426
"Chile"," 2016",5262
"Chile"," 2017",5315
"Chile"," 2018",5508
"Chile"," 2019",5808
"Colombia"," 1990",6955
"Colombia"," 1995",8211
"Colombia"," 2000",9541
"Colombia"," 2005",9332
"Colombia"," 2006",9749
"Colombia"," 2007",9946
"Colombia"," 2008",10499
"Colombia"," 2009",11240
"Colombia"," 2010",11409
"Colombia"," 2011",11123
"Colombia"," 2012",11228
"Colombia"," 2013",11286
"Colombia"," 2014",11320
"Colombia"," 2015",11690
"Colombia"," 2016",11885
"Colombia"," 2017",12099
"Colombia"," 2018",12557
"Colombia"," 2019",13033
"Costa Rica"," 1990",364
"Costa Rica"," 1995",479
"Costa Rica"," 2000",593
"Costa Rica"," 2005",608
"Costa Rica"," 2006",648
"Costa Rica"," 2007",596
"Costa Rica"," 2008",624
"Costa Rica"," 2009",628
"Costa Rica"," 2010",729
"Costa Rica"," 2011",718
"Costa Rica"," 2012",740
"Costa Rica"," 2013",773
"Costa Rica"," 2014",803
"Costa Rica"," 2015",852
"Costa Rica"," 2016",889
"Costa Rica"," 2017",887
"Costa Rica"," 2018",915
"Costa Rica"," 2019",938
"Czech Republic"," 1990",12994
"Czech Republic"," 1995",10949
"Czech Republic"," 2000",8628
"Czech Republic"," 2005",7869
"Czech Republic"," 2006",7547
"Czech Republic"," 2007",7476
"Czech Republic"," 2008",7484
"Czech Republic"," 2009",7433
"Czech Republic"," 2010",7383
"Czech Republic"," 2011",7312
"Czech Republic"," 2012",7110
"Czech Republic"," 2013",6868
"Czech Republic"," 2014",6490
"Czech Republic"," 2015",6397
"Czech Republic"," 2016",6173
"Czech Republic"," 2017",6104
"Czech Republic"," 2018",6248
"Czech Republic"," 2019",6255
"Denmark"," 1990",3667
"Denmark"," 1995",3163
"Denmark"," 2000",2548
"Denmark"," 2005",2065
"Denmark"," 2006",2043
"Denmark"," 2007",2032
"Denmark"," 2008",2002
"Denmark"," 2009",1999
"Denmark"," 2010",1954
"Denmark"," 2011",1831
"Denmark"," 2012",1663
"Denmark"," 2013",1487
"Denmark"," 2014",1332
"Denmark"," 2015",1276
"Denmark"," 2016",1312
"Denmark"," 2017",1347
"Denmark"," 2018",1344
"Denmark"," 2019",1298
"Estonia"," 1990",706
"Estonia"," 1995",709
"Estonia"," 2000",523
"Estonia"," 2005",443
"Estonia"," 2006",430
"Estonia"," 2007",425
"Estonia"," 2008",390
"Estonia"," 2009",366
"Estonia"," 2010",332
"Estonia"," 2011",318
"Estonia"," 2012",287
"Estonia"," 2013",245
"Estonia"," 2014",216
"Estonia"," 2015",182
"Estonia"," 2016",160
"Estonia"," 2017",146
"Estonia"," 2018",150
"Estonia"," 2019",160
"Finland"," 1990",1345
"Finland"," 1995",1090
"Finland"," 2000",880
"Finland"," 2005",710
"Finland"," 2006",697
"Finland"," 2007",699
"Finland"," 2008",699
"Finland"," 2009",702
"Finland"," 2010",700
"Finland"," 2011",663
"Finland"," 2012",595
"Finland"," 2013",511
"Finland"," 2014",429
"Finland"," 2015",369
"Finland"," 2016",330
"Finland"," 2017",313
"Finland"," 2018",332
"Finland"," 2019",385
"France"," 1990",22880
"France"," 1995",20663
"France"," 2000",19240
"France"," 2005",17046
"France"," 2006",16863
"France"," 2007",16923
"France"," 2008",17209
"France"," 2009",17432
"France"," 2010",17354
"France"," 2011",17041
"France"," 2012",16498
"France"," 2013",15509
"France"," 2014",14376
"France"," 2015",13982
"France"," 2016",13026
"France"," 2017",12815
"France"," 2018",12989
"France"," 2019",13245
"Germany"," 1990",63251
"Germany"," 1995",53153
"Germany"," 2000",41097
"Germany"," 2005",34431
"Germany"," 2006",34124
"Germany"," 2007",34503
"Germany"," 2008",35240
"Germany"," 2009",36057
"Germany"," 2010",36116
"Germany"," 2011",35032
"Germany"," 2012",33498
"Germany"," 2013",31794
"Germany"," 2014",29345
"Germany"," 2015",28539
"Germany"," 2016",27200
"Germany"," 2017",26416
"Germany"," 2018",26591
"Germany"," 2019",27041
"Greece"," 1990",6844
"Greece"," 1995",7118
"Greece"," 2000",7607
"Greece"," 2005",6951
"Greece"," 2006",6913
"Greece"," 2007",7118
"Greece"," 2008",7030
"Greece"," 2009",7027
"Greece"," 2010",6941
"Greece"," 2011",6971
"Greece"," 2012",6872
"Greece"," 2013",6439
"Greece"," 2014",6077
"Greece"," 2015",5892
"Greece"," 2016",5573
"Greece"," 2017",5431
"Greece"," 2018",5608
"Greece"," 2019",5715
"Hungary"," 1990",11210
"Hungary"," 1995",11439
"Hungary"," 2000",9472
